Scientificname,Commonname,Taxa_Type,total_count,n_observations,non-native,invasive
Prionotus scitulus,Leopard Searobin,Fish,24942,5001,,
Prionotus spp.,Searobins,Fish,4,2,,
Prionotus tribulus,Bighead Searobin,Fish,3395,2032,,
Protemblemaria punctata,Chameleon Blenny,Fish,1,1,,
Pseudobatos lentiginosus,Atlantic Guitarfish,Fish,119,94,,
Pseudupeneus maculatus,Spotted Goatfish,Fish,2,2,,
Pterygoplichthys disjunctivus,Vermiculated Catfish,Fish,35,32,Y,
Pterygoplichthys multiradiatus,Armoured Catfish,Fish,2,2,Y,
Pterygoplichthys pardalis,Amazon sailfin catfish,Fish,1,1,Y,
Pterygoplichthys spp.,suckermouth armored catfishes,Fish,65,55,Y,
Rachycentron canadum,Cobia,Fish,53,40,,
Rhinoptera bonasus,Cownose Ray,Fish,9695,1607,,
Rhizoprionodon terraenovae,Atlantic Sharpnose Shark,Fish,3,2,,
Rocio octofasciata,Jack Dempsey,Fish,1,1,,
Rostroraja eglanteria,Clearnose Skate,Fish,1,1,,
Rostroraja texana,Roundel Skate,Fish,13,9,,
Sardinella aurita,Spanish Sardine,Fish,17195,101,,
Sarotherodon melanotheron,Blackchin Tilapia,Fish,1192,352,Y,
Sciaenidae spp.,drums and croakers,Fish,582,8,,
Sciaenops ocellatus,Red Drum,Fish,61462,7676,,
Scomberomorus maculatus,Spanish Mackerel,Fish,1137,498,,
Scorpaena brasiliensis,Barbfish,Fish,323,205,,
Scorpaena calcarata,Smoothhead Scorpionfish,Fish,1,1,,
Selene vomer,Lookdown,Fish,1198,428,,
Serraniculus pumilio,Pygmy Sea Bass,Fish,67,49,,
Serranus subligarius,Belted Sandfish,Fish,63,48,,
Siluriformes spp.,Catfish,Fish,1,1,,
Sphoeroides nephelus,Southern Puffer,Fish,14050,6369,,
Sphoeroides spengleri,Bandtail Puffer,Fish,400,226,,
Sphoeroides spp.,puffers,Fish,5,5,,
Sphyraena barracuda,Great Barracuda,Fish,850,375,,
Sphyraena borealis,Sennet,Fish,137,73,,
Sphyraena guachancho,Guaguanche,Fish,1,1,,
Sphyrna lewini,Scalloped Hammerhead,Fish,1,1,,
Sphyrna spp.,hammerhead sharks,Fish,1,1,,
Sphyrna tiburo,Bonnethead,Fish,1108,619,,
Stephanolepis hispida,Planehead Filefish,Fish,13918,2596,,
Stephanolepis setifer,Pygmy Filefish,Fish,5,4,,
Strongylura marina,Atlantic Needlefish,Fish,3344,1253,,
Strongylura notata,Redfin Needlefish,Fish,29863,5532,,
Strongylura spp.,Needlefishes,Fish,1276,787,,
Strongylura timucu,Timucu,Fish,928,511,,
Syacium papillosum,Dusky Flounder,Fish,8,3,,
Symphurus plagiusa,Blackcheek Tonguefish,Fish,6682,2649,,
Synbranchidae spp.,Swamp Eels,Fish,1,1,Y,
Syngnathidae spp.,pipefishes,Fish,5,3,,
Syngnathus floridae,Dusky Pipefish,Fish,7548,1717,,
Syngnathus louisianae,Chain Pipefish,Fish,4995,2821,,
Syngnathus scovelli,Gulf Pipefish,Fish,22364,5869,,
Syngnathus spp.,Pipefishes,Fish,22,15,,
Syngnathus springeri,Bull Pipefish,Fish,2,2,,
Synodontidae spp.,lizardfishes,Fish,1,1,,
Synodus foetens,Inshore Lizardfish,Fish,15049,7524,,
Thorichthys meeki,Firemouth Cichlid,Fish,7,1,Y,
Tigrigobius macrodon,Tiger Goby,Fish,28,15,,
Tilapia spp.,Tilapias,Fish,1,1,Y,
Trachinotus carolinus,Florida Pompano,Fish,373,162,,
Trachinotus falcatus,Permit,Fish,1989,416,,
Trachinotus spp.,jacks,Fish,1,1,,
Trichromis salvini,Yellowbelly Cichlid,Fish,2,1,Y,
Trinectes maculatus,Hogchoker,Fish,106218,9780,,
Tylosurus crocodilus,Houndfish,Fish,133,65,,
Tylosurus spp.,needlefishes,Fish,1,1,,
Urophycis floridana,Southern Hake,Fish,241,158,,
Xiphophorus spp.,livebearers,Fish,6,5,,
Alpheidae spp.,Snapping Shrimp,Invert,147,75,,
Ambidexter symmetricus,grass shrimp,Invert,5,4,,
Argopecten gibbus,Atlantic Calico Scallop,Invert,2,2,,
Argopecten irradians,Bay Scallop,Invert,355,186,,
Argopecten spp.,Scallops,Invert,381,160,,
Brachycarpus biunguiculatus,Twoclaw Shrimp,Invert,2,2,,
Callinectes bocourti,Bocourt Swimming Crab,Invert,1,1,,
Callinectes ornatus,Shelligs,Invert,318,169,,
Callinectes sapidus,Blue Crab,Invert,55874,13391,,
Callinectes similis,Lesser Blue Crab,Invert,27,16,,
Callinectes spp.,swimming crabs,Invert,19,16,,
Farfantepenaeus duorarum,Pink Shrimp,Invert,100174,12724,,
Farfantepenaeus spp.,Commercial Shrimps,Invert,3,2,,
Hippolyte spp.,grass shrimp,Invert,1,1,,
Hippolyte zostericola,Zostera Shrimp,Invert,4,4,,
Latreutes parvulus,Sargassum Shrimp,Invert,13,4,,
Leander paulensis,Red-algae Shrimp,Invert,6,3,,
Limulus polyphemus,Horseshoe Crab,Invert,2760,1136,,
Lysmata amboinensis,Scarlet Cleaner Shrimp,Invert,15,3,,
Lysmata wurdemanni,Peppermint Shrimp,Invert,14,2,,
Menippe mercenaria,Florida Stone Crab,Invert,12,9,,
Menippe spp.,Stone Crab,Invert,3960,1136,,
Ogyrides alphaerostris,Estuarine Longeye Shrimp,Invert,1,1,,
Palaemon floridanus,Florida Grass Shrimp,Invert,6,3,,
Palaemonetes intermedius,Brackish Grass Shrimp,Invert,6145,462,,
Palaemonetes paludosus,Eastern Grass Shrimp,Invert,139,34,,
Palaemonetes pugio,Daggerblade Grass Shrimp,Invert,593900,4133,,
Palaemonetes spp.,Grass Shrimp,Invert,5057,198,,
Palaemonetes vulgaris,Marsh Grass Shrimp,Invert,4,3,,
Palaemonidae spp.,grass shrimp,Invert,4,2,,
Penaeidae spp.,Penaeid Shrimps,Invert,13,11,,
Periclimenes americanus,American Grass Shrimp,Invert,75,29,,
Periclimenes longicaudatus,Longtail Grass Shrimp,Invert,13,9,,
Portunidae spp.,Swimming Crabs,Invert,5,3,,
Portunus gibbesii,Iridescent Swimming Crab,Invert,1,1,,
Portunus spp.,Portunus Crabs,Invert,21326,1775,,
Rimapenaeus constrictus,Roughneck Shrimp,Invert,184,80,,
Rimapenaeus spp.,roughneck shrimp,Invert,34,18,,
Sicyonia brevirostris,Rock Shrimp,Invert,7,2,,
Sicyonia laevigata,Hardback,Invert,66,40,,
Sicyonia parri,Rock Shrimp,Invert,1,1,,
Sicyonia spp.,Rock Shrimp,Invert,5,5,,
Sicyonia typica,Kinglet Rock Shrimp,Invert,62,23,,
Stomolophus meleagris,Cannonball Jellyfish,Invert,2,2,,
Tozeuma carolinense,Arrow Shrimp,Invert,2,2,,
Tozeuma spp.,Arrow Shrimp,Invert,3,2,,
Apalone ferox,Florida Softshell,Turtle,9,9,,
Chelonia mydas,Green Sea Turtle,Turtle,23,22,,
Chelydra serpentina,Snapping Turtles,Turtle,2,2,,
Emydidae spp.,Sliders,Turtle,1,1,,
Graptemys pseudogeographica kohnii,Mississippi Map Turtle,Turtle,1,1,,
Kinosternon baurii,Striped Mud Turtle,Turtle,1,1,,
Malaclemys spp.,Terrapin,Turtle,1,1,,
Malaclemys terrapin,Diamondback Terrapin,Turtle,115,76,,
Pseudemys nelsoni,Florida Redbelly Turtle,Turtle,7,7,,
Pseudemys peninsularis,Peninsula Cooter,Turtle,7,7,,
Pseudemys spp.,Cooters - Turtles,Turtle,2,2,,
Pseudemys suwanniensis,Suwannee Cooter,Turtle,9,8,,
Sternotherus odoratus,Stinkpot,Turtle,1,1,,
Trachemys scripta elegans,Red-eared Turtle,Turtle,11,11,Y,Y
Trachemys scripta scripta,Yellow Bellied Turtle,Turtle,7,7,,
