Reference,gr,Latitude,Longitude
TBD2002062403,800,27.7158,-82.473283
TBD2002062404,800,27.71625,-82.477767
TBD2002062405,800,27.713333,-82.478417
TBD2002062406,800,27.71205,-82.50075
TBD2002062501,800,27.8457,-82.395533
TBD2002062502,800,27.837233,-82.391367
TBD2002062601,800,27.60945,-82.568933
TBD2002062602,800,27.597667,-82.594117
TBD2002062603,800,27.6642,-82.5415
TBD2002062604,800,27.682017,-82.5182
TBD2002072101,800,27.837367,-82.390633
TBD2002072102,800,27.858433,-82.38345
TBD2002072201,800,27.68665,-82.52195
TBD2002072202,800,27.690667,-82.523183
TBD2002072203,800,27.6822,-82.51685
TBD2002072301,800,27.84585,-82.3955
TBD2002072302,800,27.83715,-82.391483
TBD2002072303,800,27.814683,-82.394817
TBD2002072401,800,27.85225,-82.397483
TBD2002072402,800,27.858483,-82.383367
TBD2002072403,800,27.8459,-82.395517
TBD2002072501,800,27.852333,-82.3974
TBD2002072502,800,27.845833,-82.39545
TBD2002072503,800,27.8372,-82.391617
TBD2002072601,800,27.691333,-82.447867
TBD2002072602,800,27.712983,-82.459933
TBD2002072603,800,27.708017,-82.507517000000007
TBD2002072604,800,27.717733,-82.483967
TBD2002072605,800,27.717117,-82.461867
TBD2002072606,800,27.7032,-82.447483
TBD2002082101,800,27.868417,-82.428967
TBD2002082102,800,27.88605,-82.40595
TBD2002082103,800,27.883667,-82.404333
TBD2002082104,800,27.896617,-82.434233
TBD2002082105,800,27.868333,-82.425
TBD2002082106,800,27.869817,-82.402583
TBD2002082201,800,27.837133,-82.3913
TBD2002082202,800,27.83585,-82.392783
TBD2002082301,800,27.703117,-82.44725
TBD2002082302,800,27.703967,-82.447183
TBD2002082303,800,27.709883,-82.461117
TBD2002082401,181,27.817167,-82.398267
TBD2002082402,181,27.814683,-82.394883
TBD2002082403,181,27.821733,-82.392167
TBD2002082404,181,27.819317,-82.398483
TBD2002082405,181,27.8361,-82.394633
TBD2002082406,181,27.836483,-82.391683
TBD2002082407,181,27.835333,-82.391933
TBD2002082408,181,27.83745,-82.390683
TBD2002082409,181,27.8375,-82.39155
TBD2002082410,181,27.837383,-82.3884
TBD2002082411,181,27.83715,-82.390233
TBD2002082412,181,27.84895,-82.39525
TBD2002082413,181,27.850167,-82.396817
TBD2002082414,181,27.8516,-82.3899
TBD2002082415,181,27.852367,-82.39745
TBD2002082416,181,27.85205,-82.397417
TBD2002082417,181,27.850533,-82.396833
TBD2002082418,181,27.846867,-82.395583
TBD2002082419,181,27.84905,-82.393167
TBD2002082420,181,27.8506,-82.3914
TBD2002082601,255,27.8191,-82.39835
TBD2002082603,255,27.85245,-82.397333
TBD2002090101,251,27.889933,-82.408617
TBD2002090102,251,27.82765,-82.471067
TBD2002090103,251,27.821417,-82.47905
TBD2002090104,251,27.822383,-82.3978
TBD2002090105,251,27.85445,-82.40335
TBD2002090201,251,27.982217,-82.610117
TBD2002090202,251,27.985017,-82.61125
TBD2002092101,800,27.851983,-82.397433
TBD2002092102,800,27.845983,-82.39545
TBD2002092103,800,27.852,-82.397333
TBD2002092201,800,27.741567,-82.479667
TBD2002092202,800,27.739617,-82.478367
TBD2002092203,800,27.743283,-82.4804
TBD2002092204,800,27.749183,-82.4668
TBD2002092301,800,27.6868,-82.521633
TBD2002092302,800,27.6924,-82.522017
TBD2002092303,800,27.7082,-82.507767
TBD2002092304,800,27.711017,-82.504533
TBD2002092305,800,27.696833,-82.5162
TBD2002092401,181,27.680467,-82.518333
TBD2002092402,181,27.681933,-82.516283
TBD2002092403,181,27.674533,-82.518633
TBD2002092404,181,27.686633,-82.5215
TBD2002092405,181,27.682433,-82.5291
TBD2002092406,181,27.682467,-82.52945
TBD2002092407,181,27.68355,-82.5292
TBD2002092408,181,27.664183,-82.541633
TBD2002092409,181,27.661867,-82.542833
TBD2002092410,181,27.6629,-82.543067
TBD2002092411,181,27.687383,-82.520917
TBD2002092502,255,27.616533,-82.570117
TBD2002092503,251,27.607667,-82.578583
TBD2002100101,251,27.846083,-82.392167
TBD2002100102,251,27.848,-82.407083
TBD2002100103,251,27.826383,-82.392817
TBD2002100105,251,27.571233,-82.5663
TBD2002100106,251,27.559783,-82.594183
TBD2002100107,251,27.558667,-82.597217
TBD2002100108,251,27.555233,-82.603483
TBD2002100109,251,27.5534,-82.607083
TBD2002100110,251,27.550567,-82.612883
TBD2002100111,251,27.537483,-82.631183
TBD2002100201,251,27.98325,-82.607267
TBD2002100202,251,27.98585,-82.6113
TBD2002100203,251,27.98655,-82.614217
TBD2002102101,181,27.664833,-82.542167
TBD2002102102,181,27.607467,-82.571517
TBD2002102103,181,27.607017,-82.568783
TBD2002102104,181,27.60755,-82.562533
TBD2002102105,181,27.609133,-82.56465
TBD2002102106,181,27.61105,-82.5677
TBD2002102107,181,27.589233,-82.602
TBD2002102108,181,27.585867,-82.600283
TBD2002102201,251,27.833183,-82.395183
TBD2002102203,255,27.85365,-82.398017
TBD2002102301,251,27.592367,-82.58515
TBD2002102302,251,27.59415,-82.5997
TBD2002102303,251,27.599667,-82.577817
TBD2002102401,800,27.703183,-82.449783
TBD2002102402,800,27.7125,-82.490833
TBD2002102403,800,27.71345,-82.478533
TBD2002102404,800,27.7082,-82.462267
TBD2002102405,800,27.69985,-82.454733
TBD2002102406,800,27.689467,-82.4509
TBD2002102501,800,27.8375,-82.390833
TBD2002102601,800,27.643167,-82.559267
TBD2002102602,800,27.653017,-82.549517
TBD2002102603,800,27.661983,-82.54305
TBD2002102604,800,27.662367,-82.54155
TBD2002110102,251,27.538667,-82.607833
TBD2002110103,251,27.540833,-82.615833
TBD2002110104,251,27.533433,-82.595367
TBD2002110105,251,27.538267,-82.591
TBD2002110201,251,27.848483,-82.615017
TBD2002110202,251,27.849717,-82.62375
TBD2002110203,251,27.849733,-82.618417
TBD2002112101,800,27.852367,-82.39745
TBD2002112102,800,27.85845,-82.346717
TBD2002112103,800,27.845633,-82.395533
TBD2002112104,800,27.813167,-82.401183
TBD2002112201,800,27.746667,-82.473333
TBD2002112202,800,27.748333,-82.461667
TBD2002112203,800,27.8,-82.405
TBD2002112204,800,27.745,-82.473333
TBD2002112301,251,27.851667,-82.398333
TBD2002112302,251,27.825,-82.408333
TBD2002112401,251,27.6684,-82.5399
TBD2002112402,251,27.70435,-82.514467
TBD2002112403,251,27.70385,-82.5102
TBD2002112501,181,27.8589,-82.34825
TBD2002112502,181,27.852667,-82.367617
TBD2002112503,181,27.85235,-82.397367
TBD2002112504,181,27.850733,-82.39705
TBD2002112505,181,27.852167,-82.397617
TBD2002112601,800,27.881467,-82.538633
TBD2002112602,800,27.872833,-82.53375
TBD2002112603,800,27.840117,-82.54635
TBD2002112604,800,27.890833,-82.534167
TBD2002112701,800,27.679,-82.520233
TBD2002112702,800,27.68815,-82.528483
TBD2002120101,251,27.84545,-82.614167
TBD2002120102,251,27.877767,-82.611683
TBD2002120103,251,27.8785,-82.611917
TBD2002120104,251,27.883233,-82.616383
TBD2002120201,251,27.550067,-82.5734
TBD2002120202,251,27.57605,-82.560217
TBD2002120203,251,27.5634,-82.604567
TBD2002120204,251,27.5654,-82.59745
TBD2002120205,251,27.536,-82.640083
TBD2002120206,251,27.535917,-82.631567
TBD2002120207,251,27.537433,-82.630917
TBD2002120208,251,27.53595,-82.616867
TBD2002120209,251,27.540017,-82.6127
TBD2002120301,251,27.7,-82.712683
TBD2002120302,251,28.006733,-82.639233
TBD2002120303,251,28.008017,-82.639583
TBD2002120304,251,28.007817,-82.6394
TBD2002120305,251,28.002367,-82.632967
TBD2002120306,251,27.9904,-82.615717
TBD2002120307,251,27.9891,-82.612567
TBD2002123101,800,27.703283,-82.447667
TBD2002123102,800,27.700133,-82.453467
TBD2002123201,800,27.593667,-82.5892
TBD2002123202,800,27.606883,-82.582767
TBD2002123203,800,27.604083,-82.578283
TBD2002123301,251,27.883667,-82.424167
TBD2002123302,251,27.818,-82.395433
TBD2002123303,251,27.8185,-82.395167
TBD2002123401,181,27.683,-82.517733
TBD2002123402,181,27.685467,-82.5197
TBD2002123403,181,27.687467,-82.5213
TBD2002123404,181,27.607067,-82.570567
TBD2002123405,181,27.612733,-82.558783
TBD2002123406,181,27.609217,-82.558683
TBD2002123407,181,27.588933,-82.601833
TBD2002123408,181,27.5891,-82.589517
TBD2002123501,251,27.683433,-82.5321
TBD2002123502,251,27.673183,-82.538883
TBD2002123503,251,27.667617,-82.541017
TBD2002123504,251,27.65575,-82.548783
TBD2002123505,251,27.65915,-82.546683
TBD2002123506,251,27.669467,-82.540767
TBD2002123507,251,27.666183,-82.54175
TBD2002123508,251,27.675367,-82.53635
TBD2002123601,800,27.909933,-82.424383
TBD2002123602,251,27.890917,-82.410467
TBD2002123603,251,27.860983,-82.4029
TBD2003010101,251,27.627933,-82.72155
TBD2003010102,251,27.629917,-82.720017
TBD2003010103,251,27.64435,-82.691933
TBD2003010104,251,27.686533,-82.679467
TBD2003010105,251,27.681217,-82.688417
TBD2003010106,251,27.661767,-82.721017
TBD2003010201,251,27.655,-82.728333
TBD2003010202,251,27.686667,-82.679167
TBD2003010301,251,27.620333,-82.733233
TBD2003010302,251,27.621217,-82.733267
TBD2003010303,251,27.617167,-82.732267
TBD2003010401,251,27.576267,-82.559833
TBD2003010402,251,27.567883,-82.571367
TBD2003010403,251,27.558883,-82.593133
TBD2003010404,251,27.590917,-82.594983
TBD2003010405,251,27.603933,-82.578917
TBD2003010501,251,27.651433,-82.67795
TBD2003010502,251,27.652033,-82.6782
TBD2003010503,251,27.6509,-82.677667
TBD2003010504,251,27.651617,-82.678933
TBD2003010505,251,27.6531,-82.679383
TBD2003010506,251,27.6499,-82.676983
TBD2003010507,251,27.6343,-82.702833
TBD2003010601,251,27.622867,-82.7304
TBD2003010602,251,27.64135,-82.717
TBD2003010603,251,27.653067,-82.71845
TBD2003013101,800,27.708167,-82.5077
TBD2003013102,800,27.686,-82.526383
TBD2003013103,800,27.686733,-82.521167
TBD2003013104,800,27.70245,-82.529133
TBD2003013201,181,27.7465,-82.474417
TBD2003013202,181,27.746667,-82.475
TBD2003013203,181,27.7419,-82.470983
TBD2003013204,181,27.740683,-82.470583
TBD2003013205,181,27.741067,-82.46885
TBD2003013206,181,27.746633,-82.473367
TBD2003013207,181,27.74725,-82.473883
TBD2003013208,181,27.746333,-82.47335
TBD2003013209,181,27.746617,-82.474417
TBD2003013210,181,27.744567,-82.469133
TBD2003013211,181,27.7469,-82.4679
TBD2003013212,181,27.746083,-82.474033
TBD2003013401,255,27.5918,-82.586817
TBD2003013402,251,27.588917,-82.57865
TBD2003013403,255,27.6049,-82.57865
TBD2003013501,800,27.833633,-82.561833
TBD2003013601,800,27.845983,-82.395533
TBD2003020101,251,27.700817,-82.7103
TBD2003020102,251,27.629533,-82.707483
TBD2003020201,251,27.6302,-82.7057
TBD2003020202,251,27.62935,-82.70645
TBD2003020203,251,27.636333,-82.708067
TBD2003020204,251,27.620367,-82.733183
TBD2003020205,251,27.624567,-82.721033
TBD2003020206,251,27.62685,-82.720317
TBD2003020301,251,27.6344,-82.711433
TBD2003020302,251,27.633683,-82.706983
TBD2003020303,251,27.627817,-82.707267
TBD2003020304,251,27.6373,-82.708817
TBD2003020305,251,27.65605,-82.72535
TBD2003020401,251,27.629067,-82.7068
TBD2003020402,251,27.631467,-82.7121
TBD2003020403,251,27.63045,-82.712483
TBD2003020405,251,27.628767,-82.72245
TBD2003020406,251,27.63035,-82.720783
TBD2003020407,251,27.6316,-82.721267
TBD2003020501,251,27.633883,-82.70185
TBD2003020502,251,27.634983,-82.71675
TBD2003020503,251,27.621483,-82.722567
TBD2003020504,251,27.637467,-82.735083
TBD2003023101,800,27.6083,-82.56995
TBD2003023201,800,27.922267,-82.4289
TBD2003023202,800,27.909117,-82.422367
TBD2003023203,800,27.932683,-82.447867
TBD2003023204,800,27.928683,-82.448083
TBD2003023301,181,27.852667,-82.39735
TBD2003023302,181,27.851367,-82.397333
TBD2003023303,181,27.850683,-82.397183
TBD2003023304,181,27.849117,-82.3955
TBD2003023305,181,27.849467,-82.39455
TBD2003023306,181,27.850067,-82.392067
TBD2003023307,181,27.851233,-82.39045
TBD2003023308,181,27.85055,-82.391217
TBD2003023501,800,27.84705,-82.400117
TBD2003023502,800,27.81335,-82.399917
TBD2003023601,251,27.6106,-82.55945
TBD2003023602,251,27.594583,-82.5847
TBD2003023603,251,27.593533,-82.586283
TBD2003023604,251,27.589833,-82.587967
TBD2003023605,251,27.61585,-82.568883
TBD2003023606,251,27.657617,-82.547483
TBD2003023607,251,27.671833,-82.539217
TBD2003033101,800,27.867317,-82.541717
TBD2003033102,800,27.8488,-82.551067
TBD2003033201,800,27.845967,-82.39555
TBD2003033202,800,27.85215,-82.3974
TBD2003033301,181,27.678117,-82.519583
TBD2003033302,181,27.682933,-82.517617
TBD2003033303,181,27.68505,-82.51915
TBD2003033304,181,27.687467,-82.521267
TBD2003033305,181,27.680517,-82.518917
TBD2003033306,181,27.68055,-82.517833
TBD2003033401,800,27.607317,-82.562383
TBD2003033402,800,27.594433,-82.5964
TBD2003033403,251,27.619483,-82.565
TBD2003033501,800,27.6081,-82.573917
TBD2003033502,800,27.600867,-82.57885
TBD2003033503,800,27.58825,-82.595833
TBD2003043101,800,27.915633,-82.445117
TBD2003043102,800,27.91185,-82.428917
TBD2003043103,800,27.940467,-82.41745
TBD2003043104,800,27.885317,-82.401933
TBD2003043201,800,27.83705,-82.391617
